epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,10181.3,0.7972,0.78811,0.84756,0.97674,0.98866,0.995,0.76342,0.98657,0.73588,0.91645,0.000473064,0.000473064,0.000473064
60,10307.7,0.82921,0.75352,0.906,0.97228,0.99939,0.995,0.75502,0.96627,0.71663,0.91898,0.000462065,0.000462065,0.000462065
61,10426.9,0.84735,0.85203,0.90237,0.97496,0.9993,0.995,0.73299,0.94185,0.71604,0.92115,0.000451066,0.000451066,0.000451066
62,10559.9,0.76817,0.8323,0.88678,0.97399,0.99512,0.995,0.73354,0.99812,0.73155,0.94269,0.000440067,0.000440067,0.000440067
63,10725.3,0.84099,0.74487,0.89589,0.96671,1,0.995,0.71967,1.03267,0.72556,0.94857,0.000429068,0.000429068,0.000429068
64,10853.7,0.94005,0.78425,0.92814,0.96226,0.99041,0.9869,0.73231,1.03938,0.739,0.94101,0.000418069,0.000418069,0.000418069
65,10977.8,0.76147,0.72002,0.87982,0.97235,0.99345,0.995,0.72404,1.04747,0.73708,0.94173,0.00040707,0.00040707,0.00040707
66,11104.5,0.82748,0.70058,0.8802,0.96848,0.9944,0.995,0.72259,1.05793,0.72444,0.95947,0.000396071,0.000396071,0.000396071
67,11241.1,0.74066,0.70209,0.88938,0.97255,0.99472,0.995,0.74502,1.00387,0.71596,0.94538,0.000385073,0.000385073,0.000385073
68,11359.9,0.74693,0.70666,0.86574,0.97865,0.98303,0.995,0.74928,0.95234,0.70673,0.91683,0.000374074,0.000374074,0.000374074
69,11482.7,0.97223,0.92094,0.88847,0.98029,0.98002,0.995,0.73707,0.9886,0.70195,0.91367,0.000363075,0.000363075,0.000363075
70,11662.6,0.79465,0.68305,0.85528,0.97262,0.97913,0.995,0.73115,1.02793,0.70782,0.9199,0.000352076,0.000352076,0.000352076
71,11775.3,0.78313,0.75504,0.90697,0.97003,0.97702,0.995,0.72563,1.04631,0.71043,0.92954,0.000341077,0.000341077,0.000341077
72,11887.2,0.72705,0.69508,0.87946,0.96718,0.97684,0.995,0.73638,1.05606,0.71269,0.93563,0.000330078,0.000330078,0.000330078
73,12012.8,0.75002,0.69325,0.91337,0.96071,0.98756,0.995,0.73692,1.03478,0.7075,0.92233,0.000319079,0.000319079,0.000319079
74,12121.2,0.88864,0.83164,0.87934,0.97177,0.99606,0.995,0.74632,1.00603,0.7172,0.91507,0.00030808,0.00030808,0.00030808
75,12251,0.76429,0.78875,0.83692,0.97974,0.97992,0.995,0.75744,0.97398,0.68236,0.90985,0.000297081,0.000297081,0.000297081
76,12401.2,0.79512,0.67238,0.8826,0.9771,0.9818,0.995,0.75934,0.93611,0.64907,0.90329,0.000286083,0.000286083,0.000286083
77,12536,0.72042,0.80427,0.76908,0.97073,0.99685,0.995,0.75683,0.93268,0.63528,0.90598,0.000275084,0.000275084,0.000275084
78,12680.8,0.68232,0.83371,0.77242,0.97841,0.97641,0.995,0.75159,0.92897,0.65415,0.90834,0.000264085,0.000264085,0.000264085
79,12868.4,0.8006,0.68919,0.87064,0.9784,0.9737,0.995,0.73949,0.92152,0.66183,0.90782,0.000253086,0.000253086,0.000253086
80,13009.8,0.67054,0.81149,0.7786,0.97597,0.97654,0.995,0.74615,0.88379,0.63592,0.89721,0.000242087,0.000242087,0.000242087
81,13089.4,0.78162,0.78421,0.88664,0.96424,0.98195,0.995,0.7438,0.89337,0.64594,0.90077,0.000231088,0.000231088,0.000231088
82,13173.6,0.78565,0.71447,0.84473,0.96016,0.9833,0.995,0.74661,0.91689,0.65216,0.90561,0.000220089,0.000220089,0.000220089
83,13252,0.80382,0.68401,0.86019,0.96476,0.98301,0.995,0.75632,0.91118,0.63758,0.90383,0.00020909,0.00020909,0.00020909
84,13351.4,0.68689,0.6426,0.87834,0.97512,0.97991,0.995,0.76478,0.9113,0.62638,0.89994,0.000198091,0.000198091,0.000198091
85,13444.8,0.60616,0.84473,0.75526,0.97709,0.97918,0.995,0.75028,0.943,0.6288,0.90811,0.000187092,0.000187092,0.000187092
86,13539,0.74924,0.658,0.89196,0.97595,0.97956,0.995,0.75592,0.95513,0.65629,0.91433,0.000176094,0.000176094,0.000176094
87,13642.5,0.74299,0.64555,0.8748,0.9731,0.98087,0.995,0.76109,0.94632,0.65963,0.91628,0.000165095,0.000165095,0.000165095
88,13720.6,0.76828,0.65997,0.88335,0.97146,0.98106,0.995,0.74683,0.90662,0.63511,0.90478,0.000154096,0.000154096,0.000154096
89,13800.8,0.5806,0.78129,0.76774,0.97442,0.98003,0.995,0.76049,0.88649,0.60702,0.89772,0.000143097,0.000143097,0.000143097
90,13894.9,0.74968,0.65545,0.87111,0.97776,0.9802,0.995,0.76372,0.88299,0.62192,0.89412,0.000132098,0.000132098,0.000132098
91,14020.2,0.75506,0.75833,0.85173,0.97862,0.98009,0.995,0.7582,0.89465,0.61728,0.89424,0.000121099,0.000121099,0.000121099
92,14116.5,0.81711,0.74949,0.86539,0.97609,0.98147,0.995,0.75695,0.90087,0.64897,0.90017,0.0001101,0.0001101,0.0001101
93,14192.9,0.81082,0.78844,0.86824,0.97346,0.98364,0.995,0.75781,0.91998,0.66159,0.9118,9.91012e-05,9.91012e-05,9.91012e-05
94,14275.5,0.66125,0.747,0.82983,0.9667,0.99257,0.995,0.75461,0.92594,0.67821,0.91822,8.81023e-05,8.81023e-05,8.81023e-05
95,14360.1,0.74505,0.79211,0.89102,0.96416,1,0.995,0.75129,0.92353,0.67594,0.91839,7.71034e-05,7.71034e-05,7.71034e-05
96,14443.1,0.61542,0.86559,0.76385,0.96235,0.99477,0.995,0.74547,0.9238,0.66825,0.91673,6.61045e-05,6.61045e-05,6.61045e-05
97,14514.9,0.67854,0.72096,0.86846,0.96085,0.99612,0.995,0.74956,0.92529,0.66448,0.91573,5.51056e-05,5.51056e-05,5.51056e-05
98,14597,0.67079,0.73437,0.83896,0.96038,0.99554,0.995,0.75811,0.92244,0.65064,0.91322,4.41067e-05,4.41067e-05,4.41067e-05
99,14674.6,0.57487,1.14569,0.76097,0.96168,0.99605,0.995,0.75343,0.91374,0.6361,0.91012,3.31078e-05,3.31078e-05,3.31078e-05
100,14738.9,0.7135,0.71928,0.86456,0.96349,0.99674,0.995,0.75175,0.90103,0.62108,0.90648,2.21089e-05,2.21089e-05,2.21089e-05
